userId,itemId,rating,timestamp
0,0,1,0
1,1,1,0
2,2,1,0
3,3,0,0
4,3,0,0
5,1,1,0
6,2,0,0
7,2,0,0
8,3,1,0
9,2,0,0
10,1,0,0
11,1,0,0
12,2,0,0
13,1,0,0
14,0,0,0
15,3,0,0
16,1,0,0
17,2,0,0
18,3,0,0
19,1,0,0
20,3,1,0
21,2,0,0
22,0,0,0
23,0,0,0
24,1,1,0
25,0,0,0
26,1,0,0
27,3,1,0
28,1,1,0
29,1,0,0
30,1,0,0
31,0,1,0
32,1,0,0
33,2,0,0
34,1,1,0
35,3,0,0
36,2,1,0
37,3,0,0
38,3,1,0
39,3,0,0
40,2,0,0
41,2,0,0
42,0,1,0
43,2,0,0
44,1,0,0
45,3,0,0
46,0,0,0
47,2,0,0
48,3,0,0
49,2,1,0
50,0,0,0
51,2,1,0
52,2,0,0
53,3,0,0
54,1,0,0
55,2,1,0
56,0,0,0
57,2,0,0
58,2,1,0
59,1,0,0
60,3,0,0
61,0,1,0
62,3,1,0
63,3,0,0
64,3,1,0
65,2,0,0
66,1,1,0
67,2,0,0
68,0,1,0
69,1,1,0
70,3,1,0
71,1,0,0
72,0,1,0
73,2,0,0
74,2,1,0
75,3,0,0
76,2,0,0
77,2,0,0
78,0,0,0
79,1,1,0
80,2,0,0
81,0,1,0
82,0,0,0
83,3,0,0
84,0,0,0
85,3,1,0
86,2,0,0
87,3,1,0
88,0,1,0
89,1,0,0
90,1,1,0
91,2,1,0
92,2,0,0
93,1,0,0
94,3,0,0
95,2,0,0
96,0,0,0
97,2,0,0
98,3,1,0
99,2,1,0
100,0,0,0
101,0,1,0
102,0,0,0
103,3,0,0
104,3,0,0
105,0,1,0
106,0,0,0
107,3,1,0
108,3,0,0
109,3,1,0
110,1,0,0
111,3,1,0
112,0,1,0
113,1,1,0
114,3,1,0
115,0,0,0
116,2,0,0
117,1,1,0
118,0,0,0
119,2,1,0
120,0,1,0
121,3,0,0
122,3,0,0
123,2,1,0
124,3,1,0
125,0,0,0
126,2,0,0
127,0,1,0
128,0,0,0
129,0,1,0
130,3,0,0
131,3,0,0
132,0,1,0
133,1,0,0
134,0,1,0
135,0,0,0
136,2,0,0
137,0,0,0
138,3,0,0
139,2,1,0
140,1,0,0
141,2,1,0
142,1,0,0
143,2,1,0
144,2,0,0
145,1,1,0
146,3,0,0
147,3,0,0
148,3,0,0
149,2,0,0
150,0,0,0
151,2,0,0
152,0,1,0
153,0,0,0
154,3,0,0
155,0,1,0
156,2,1,0
157,2,0,0
158,3,0,0
159,1,0,0
160,2,0,0
161,0,0,0
162,2,0,0
163,2,1,0
164,2,1,0
165,1,1,0
166,0,1,0
167,3,0,0
168,2,0,0
169,0,0,0
170,0,0,0
171,3,1,0
172,2,1,0
173,1,0,0
174,0,0,0
175,3,0,0
176,1,1,0
177,0,0,0
178,2,0,0
179,0,0,0
180,1,0,0
181,1,1,0
182,2,1,0
183,2,0,0
184,3,1,0
185,2,1,0
186,3,1,0
187,1,1,0
188,1,0,0
189,0,1,0
190,0,1,0
191,3,0,0
192,2,0,0
193,2,0,0
194,0,0,0
195,1,0,0
196,3,1,0
197,1,1,0
198,1,0,0
199,2,1,0
200,3,1,0
201,1,1,0
202,0,0,0
203,0,1,0
204,2,1,0
205,0,1,0
206,0,0,0
207,1,1,0
208,0,1,0
209,0,1,0
210,1,1,0
211,2,0,0
212,2,1,0
213,3,0,0
214,0,0,0
215,1,0,0
216,3,1,0
217,2,0,0
218,2,1,0
219,1,0,0
220,3,0,0
221,3,1,0
222,1,0,0
223,1,1,0
224,3,0,0
225,2,1,0
226,0,0,0
